"Dim","true_rank","new.alpha","new.lambda.1","new.lambda.2","new.error.test","new.error.all","new.error.B","new.error.beta","new.rank","Ysf.alpha","Ysf.lambda.1","Ysf.lambda.2","Ysf.error.test","Ysf.error.all","Ysf.error.B","Ysf.error.beta","Ysf.rank"
"200x200",15,1,5,0.331578947368421,0.762888260281356,0.72942351953215,3.95001743213327,4.21130084727259,15,1,4.74358974358974,0.378947368421053,0.803876845528049,0.780398012772272,3.90678804898673,4.22576319764223,9
"400x400",15,1,5,0.236842105263158,0.48544688331918,0.466249411020579,3.37107594327296,4.15995981944953,19,1,5,0.284210526315789,0.530602179661297,0.521393680621263,3.29429081518091,4.15995981944953,6
"600x600",15,1,5,0.236842105263158,0.382138707540507,0.377528374768203,3.50726064584458,4.1575797875896,9,1,2.43589743589744,0.236842105263158,0.380066776855402,0.37485763543484,3.50726064584458,4.2001622908241,9
"800x800",15,1,5,0.189473684210526,0.335658034722345,0.330902904271151,3.50107894308516,4.17037215307521,11,1,2.05128205128205,0.189473684210526,0.332726124812073,0.327484792424178,3.50107894308516,4.33796899493202,11
