"dimension","RMSE_A","RMSE_beta","RMSE_B","test_error","rank","alpha","lambda_1","lambda_2"
400,7.51094860033363,0.844579382514866,7.27874605589132,0.792381971179642,335,0.993777777777778,0,0.0473684210526316
600,3.2807202770964,0.578596165528656,3.01810195537283,0.616873631762806,64,1,0,0.521052631578947
800,3.5447424455214,0.538008711719771,3.33641003734863,0.605162620550696,95,1,0,0.426315789473684
1000,3.24170229561569,0.491516991201138,3.05342754145193,0.536374487731816,102,1,0,0.473684210526316
