"Dim","true_rank","new.alpha","new.lambda.1","new.lambda.2","new.error.test","new.error.all","new.error.B","new.error.beta","new.rank","Ysf.alpha","Ysf.lambda.1","Ysf.lambda.2","Ysf.error.test","Ysf.error.all","Ysf.error.B","Ysf.error.beta","Ysf.rank"
"200x200",15,1,3,0.473684210526316,1.42969294282843,2.00008327758069,9.86208729044603,4.37927178868132,22,1,2,0.426315789473684,1.5232576778796,2.54735404663359,12.7391163804543,4.63974473222042,29
"400x400",15,1,3,0.378947368421053,0.858387225361904,0.843044281257902,3.9230665304946,4.3207998219226,12,1,2,0.426315789473684,0.968862713657583,0.955834667987669,4.16707892119374,4.39799023220118,6
"600x600",15,1,3,0.331578947368421,0.630342986867862,0.636578848602961,3.88104353262567,4.07412218170662,12,1,2,0.331578947368421,0.633809684074931,0.6399904719173,3.88104353262566,4.07936088650744,12
"800x800",15,1,3,0.284210526315789,0.600743225545591,0.594780135830994,3.17653578773177,4.10607480848706,10,1,2,0.284210526315789,0.600164568603172,0.593845650357517,3.17653578773177,4.15599840714509,10
