"Dim","true_rank","new.alpha","new.lambda.1","new.lambda.2","new.error.test","new.error.all","new.error.B","new.error.beta","new.rank","new.time","Ysf.alpha","Ysf.lambda.1","Ysf.lambda.2","Ysf.error.test","Ysf.error.all","Ysf.error.B","Ysf.error.beta","Ysf.rank","Ysf.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank"
"400x400",20,1,0.526315789473684,0.473684210526316,0.83213149200332,0.851299508000012,4.60962609479376,1.51553042419315,21,10,1,0.526315789473684,0.521052631578947,0.87771206808603,0.874294125555705,4.79613779157306,1.51553042419315,15,11,5,5.83726213792222,0.325136968980057,0.309824806530547,0.985491884947685,1.11664233834368,31,6,10.8152681465052,0.305512862429486,0.302111822534918,NA,NA,400
"600x600",20,1,0.421052631578947,0.426315789473684,0.557538522937413,0.564929180908235,3.53751807028431,1.14616708945903,17,17,1,0.315789473684211,0.426315789473684,0.552668155629732,0.562013286373539,3.53751807028431,1.13710702108309,17,21,12,8.29322646719497,0.14387875842002,0.139236392937146,0.447958586129202,0.865877228559323,26,13,7.80925262066972,0.216840471265669,0.21873860863989,NA,NA,600
"800x800",20,1,0.210526315789474,0.378947368421053,0.421712561968883,0.417053130325617,2.43857987567578,0.779620422150011,14,30,1,0.210526315789474,0.378947368421053,0.421712561968884,0.417053130325617,2.43857987567578,0.779620422150011,14,42,22,11.2412475470185,0.0977763018955341,0.0952937304429785,0.290452130791437,0.488179320053489,21,25,10.5630035855732,0.174311391317338,0.179342395735203,NA,NA,800
"1000x1000",20,1,0.210526315789474,0.331578947368421,0.340076097440337,0.337815507990971,1.9607469891102,0.653454075599696,15,108,1,0.210526315789474,0.331578947368421,0.340076097440337,0.337815507990972,1.9607469891102,0.653454075599696,15,131,40,10.8641788674933,0.0766203056698923,0.0751653702490626,0.198840777449596,0.495946820028757,23,35,12.8085365123144,0.167236269604096,0.173242148681449,NA,NA,1000
