"Dim","true_rank","new.alpha","new.lambda.1","new.lambda.2","new.error.test","new.error.all","new.error.B","new.error.beta","new.rank","new.time","Ysf.alpha","Ysf.lambda.1","Ysf.lambda.2","Ysf.error.test","Ysf.error.all","Ysf.error.B","Ysf.error.beta","Ysf.rank","Ysf.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank"
"400x400",15,1,0.421052631578947,0.378947368421053,0.791714540253307,1.48854170813965,2.02952344708082,0.40990660429314,38,9,1,0.736842105263158,0.9,0.809178165964163,0.809045408052291,1.01311828127682,0.4057279820029,7,12,10,28.0177233478534,0.609139575822425,0.570519913946834,0.362687683169816,0.677790405771584,15,10,41.1643970835776,0.751044781894207,0.781106362305928,NA,NA,400
"600x600",15,1,0.315789473684211,0.521052631578947,0.603506620084143,0.678802062657789,0.873957840910641,0.257323673736319,64,15,1,0.315789473684211,0.568421052631579,0.609035243162557,0.647447792965817,0.828123857808598,0.257323673736319,46,22,15,38.7326810890761,0.353825495387053,0.334489758224937,0.208799595367506,0.393231327510211,15,23,47.9667107738107,0.552253742891703,0.622797542899231,NA,NA,600
"800x800",15,1,0.210526315789474,0.473684210526316,0.590626278974487,0.715595806112286,0.946670107143799,0.230712881521081,65,26,1,0.210526315789474,0.473684210526316,0.590626278974488,0.715595806112286,0.946670107143799,0.230712881521081,65,38,21,53.3392059202361,0.318539412609681,0.296735031146593,0.142511566964505,0.370335060343316,15,39,51.1991643474414,0.463764890069636,0.550540583463515,NA,NA,800
"1000x1000",15,1,0.210526315789474,0.521052631578947,0.527930048857436,0.603207088763487,0.796087476488291,0.1980892532009,73,38,1,0.210526315789474,0.521052631578947,0.527930048857436,0.603207088763487,0.796087476488291,0.1980892532009,73,45,23,53.1964133911817,0.265992141708552,0.253045394071647,0.129480684199396,0.312060109720934,15,43,52.2773092578619,0.410267622923114,0.49238608882786,NA,NA,1000
