"method","missingness","test_errors","RMSE_A","lambda.2","lambda.1","alpha"
"theta_simple",0.3,0.064173463105462,0.751444112594371,0.0947368421052631,0.526315789473684,1
"theta_simple",0.4,0.0918707970116876,0.898343327285866,0.142105263157895,0.736842105263158,1
"theta_simple",0.5,0.0940277395418961,0.903055711816,0.142105263157895,0.947368421052632,1
"theta_simple",0.6,0.116449088872327,1.00590935964146,0.189473684210526,1.57894736842105,1
"theta_simple",0.7,0.135871615762283,1.08701032192857,0.189473684210526,2,1
"theta_simple",0.8,0.178470106668379,1.24647807887007,0.284210526315789,2,1
"theta_simple",0.9,0.275934148793608,1.55020632851867,0.378947368421053,2,1
