"Dim","true_rank","new.alpha","new.lambda.1","new.lambda.2","new.error.test","new.error.all","new.error.B","new.error.beta","new.rank","new.time","Ysf.alpha","Ysf.lambda.1","Ysf.lambda.2","Ysf.error.test","Ysf.error.all","Ysf.error.B","Ysf.error.beta","Ysf.rank","Ysf.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank"
"400x400",20,1,0.315789473684211,0.473684210526316,0.79802229322097,0.863131197384032,5.17501618922327,1.41602630780453,21,10,1,0.315789473684211,0.521052631578947,0.837165677260345,0.854094854840181,5.0983374203399,1.41602630780453,17,13,7,4.74354120953878,0.277480044430694,0.265498257479892,163521.236216077,1.11441228030221,34,8,5.58525673200805,0.267619862907779,0.265572813776928,NA,NA,400
"600x600",20,1,0.210526315789474,0.426315789473684,0.512904245966861,0.50883779746941,3.36941621514319,1.11664496535755,19,18,1,0.210526315789474,0.473684210526316,0.558936250907568,0.552895840305803,3.80421551667851,1.11664496535755,13,24,11,8.37987822723534,0.131256231494467,0.127175978075153,90763.7089187482,0.81728751754084,27,15,8.09382826667812,0.180402749696245,0.183993362593156,NA,NA,600
"800x800",20,1,0.105263157894737,0.378947368421053,0.388074132805051,0.389598046064018,2.59838172156396,0.855324672928138,20,28,1,0.105263157894737,0.378947368421053,0.388074132805051,0.389598046064017,2.59838172156396,0.855324672928138,20,40,22,11.2246283356998,0.0871692978072622,0.0849359312778974,57602.5051911553,0.493852533355844,22,24,10.826279478091,0.143883380915373,0.149144111043605,NA,NA,800
"1000x1000",20,1,0.105263157894737,0.331578947368421,0.295206840613415,0.293037064831382,2.00522955903874,0.706422324856154,20,110,1,0.105263157894737,0.378947368421053,0.331873082033485,0.328951524691657,2.36414805790842,0.706422324856154,11,134,39,10.924269100299,0.0658917465486977,0.0646625178549915,37669.6967813815,0.499687351895798,23,36,13.3022501818734,0.126277050810299,0.132816348912803,NA,NA,1000
