"dimension","RMSE_A","RMSE_beta","RMSE_B","test_error","rank","alpha","lambda_1","lambda_2"
400,4.84282679830494,0.658094545389304,4.60729712359612,0.74383927786009,223.5,0.994666666666667,0.105263157894737,0.1
400,3.77396949070741,0.599031319995468,3.5253100335343,0.731481953686744,50.3,1,0.421052631578947,0.4
600,3.27934873993377,0.502575483256679,3.07921919108695,0.600656210907268,75.7,1,0.210526315789474,0.6
800,3.05093451422254,0.452384477182359,2.87682554914008,0.517912454290567,86.8333333333333,1,0.210526315789474,0.6
1000,2.78573357515338,0.407813378008814,2.63113748419159,0.453387351771945,90.0333333333333,1,0.210526315789474,0.6
