"Dim","true_rank","new.alpha","new.lambda.1","new.lambda.2","new.error.test","new.error.all","new.error.B","new.error.beta","new.rank","Ysf.alpha","Ysf.lambda.1","Ysf.lambda.2","Ysf.error.test","Ysf.error.all","Ysf.error.B","Ysf.error.beta","Ysf.rank"
"200x200",10,1,2,0.378947368421053,0.531920547137008,0.506879776620185,5.53279586225091,4.33889217143728,13,1,2,0.426315789473684,0.55487571175492,0.532440628474564,5.03344045883344,4.33889217143728,9
"400x400",10,1,1.05263157894737,0.284210526315789,0.399526878015604,0.386315897058134,4.8094310520594,3.60254897233124,15,1,1.36842105263158,0.331578947368421,0.427801468625606,0.416952638630766,4.41470662865007,3.65799359326605,8
"600x600",10,1,2,0.236842105263158,0.294011366230796,0.285628147033171,5.78391668588939,3.96353419445681,18,1,2,0.284210526315789,0.320145173783954,0.315176600923245,5.28667157299535,3.96353419445681,6
"800x800",10,1,2,0.189473684210526,0.246957927092536,0.240170069663811,6.26382023059599,4.06011251182933,30,1,2,0.236842105263158,0.281377692593274,0.277117365699312,5.6173266000203,4.06011251182933,7
