"Dim","true_rank","new.alpha","new.lambda.1","new.lambda.2","new.error.test","new.error.all","new.error.B","new.error.beta","new.rank","new.time","Ysf.alpha","Ysf.lambda.1","Ysf.lambda.2","Ysf.error.test","Ysf.error.all","Ysf.error.B","Ysf.error.beta","Ysf.rank","Ysf.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank"
"400x400",20,1,0.210526315789474,0.331578947368421,0.400462982967642,0.389769395992801,2.19972548621591,0.734973941177055,14,10,1,0.210526315789474,0.331578947368421,0.400462982967642,0.389769395992801,2.19972548621591,0.734973941177055,14,11,5,11.2291596183967,0.098259433263912,0.0940716318984892,0.251050406471691,0.626753617317797,21,5,10.3616285402981,0.177380965164545,0.190553887669397,NA,NA,400
"600x600",20,1,0.105263157894737,0.284210526315789,0.254426834420738,0.248626976420178,1.74945801720971,0.516466723613622,15,18,1,0.105263157894737,0.284210526315789,0.254426834420738,0.248626976420178,1.74945801720971,0.516466723613622,15,25,14,12.9408267970091,0.0607326019381567,0.0588481918219514,0.160546635738167,0.626676877965442,21,14,15.2848435568804,0.128986008205878,0.146301907442217,NA,NA,600
"800x800",20,1,0.105263157894737,0.236842105263158,0.190238689622803,0.185527696003657,1.15244070009371,0.356791162942434,17,29,1,0.105263157894737,0.236842105263158,0.190238689622803,0.185527696003657,1.15244070009371,0.356791162942434,17,34,20,17.8145798735455,0.0478459104522439,0.046691935815765,0.116161563971173,0.356878986409497,19,17,0,0.0978110542478242,0.120134114246465,NA,NA,800
"1000x1000",20,1,0.105263157894737,0.236842105263158,0.170819396115681,0.168126277926152,1.13435084895331,0.289687782551496,11,102,1,0.105263157894737,0.236842105263158,0.170819396115681,0.168126277926152,1.13435084895331,0.289687782551496,11,118,31,16.2396852515432,0.0407860452008511,0.039976959135446,0.0841399062503772,0.390858104205851,19,25,0,0.071520543317327,0.0990585005706187,NA,NA,1000
