"method","missingness","test_errors","RMSE_A","lambda.2","lambda.1","alpha"
"theta_default",0.3,0.0590645617634241,0.720912309203956,0.0947368421052631,0.210526315789474,1
"theta_default",0.4,0.0841603631792675,0.859819726504632,0.142105263157895,0.315789473684211,1
"theta_default",0.5,0.0858231095688736,0.862757352419024,0.142105263157895,0.315789473684211,1
"theta_default",0.6,0.107234214049745,0.965289291260591,0.189473684210526,0.526315789473684,1
"theta_default",0.7,0.131827536832572,1.07071125228504,0.236842105263158,0.842105263157895,1
"theta_default",0.8,0.17448875129536,1.23249629080775,0.284210526315789,1.57894736842105,1
"theta_default",0.9,0.31024026822462,1.64375037045705,0.426315789473684,2,1
