"method","missingness","test_errors","RMSE_A","lambda.2","lambda.1","alpha"
"theta_random",0.3,0.0629494880961842,0.744243498268418,0.0947368421052631,0.526315789473684,1
"theta_random",0.4,0.0896729260227038,0.887532519608024,0.142105263157895,0.736842105263158,1
"theta_random",0.5,0.091459039234928,0.890635216423423,0.142105263157895,0.947368421052632,1
"theta_random",0.6,0.113386303200952,0.992592752165171,0.189473684210526,1.57894736842105,1
"theta_random",0.7,0.136851191124709,1.0909217209709,0.236842105263158,2,1
"theta_random",0.8,0.174099599199426,1.23112114131604,0.284210526315789,2,1
"theta_random",0.9,0.278775433130855,1.55816709839576,0.378947368421053,2,1
