"Dim","true_rank","Mao.alpha","Mao.lambda.1","Mao.lambda.2","Mao.error.test","Mao.error.all","Mao.error.B","Mao.error.beta","Mao.rank","Mao.time","simputeCov.time","simputeCov.lambda.1","simputeCov.error.test","simputeCov.error.all","simputeCov.error.beta","simputeCov.error.B","simputeCov.rank","simpute.time","simpute.lambda.1","simpute.error.test","simpute.error.all","simpute.error.beta","simpute.error.B","simpute.rank","simputeL2.alpha","simputeL2.lambda.1","simputeL2.lambda.2","simputeL2.error.test","simputeL2.error.all","simputeL2.error.B","simputeL2.error.beta","simputeL2.rank","simputeL2.time","simpute.lambda.2","simputeCov.lambda.2"
"400x400",20,1,0.105263157894737,0.331578947368421,0.364658695970054,0.358557944911176,2.20273667658675,0.725682053054865,13,15,7,0,0.093628337929052,0.0894360404845277,57491.069312874,0.622212152900606,19,9,NA,0.14589197528784,0.16199802577196,NA,NA,400,NA,8.88888888888889,11.3613002587693,0.0752558224062787,0.0724978583332752,0.598832237559022,0.280935240521253,16,87,10.7368265355783,11.3613002587693
"600x600",20,1,0.105263157894737,0.284210526315789,0.242162502878092,0.237255496132755,1.77629136199069,0.562412933140472,18,25,17,0,0.0579231698628135,0.0560275215013134,30924.2069579446,0.596036828944463,20,15,NA,0.110989300208767,0.129110375647124,NA,NA,600,NA,11.1111111111111,13.0316162015967,0.0491503222548646,0.0478067454836303,0.588939166574564,0.217913870371369,16,127,15.7314107428804,13.0316162015967
"800x800",20,1,0.105263157894737,0.236842105263158,0.179817058788607,0.17404829191081,1.19303616556176,0.472142278087479,21,41,31,0,0.0428319917867511,0.0417698674947187,22874.1274407818,0.365409904025186,18,24,NA,0.0839045019451276,0.104193578260488,NA,NA,800,NA,4.44444444444444,13.2921442807084,0.0383992034436712,0.0374969463476214,0.361071630990622,0.196335155837188,16,171,0,17.7228590409445
"1000x1000",20,1,0.105263157894737,0.236842105263158,0.155957746220048,0.152776052335377,1.15388622805999,0.41092462690756,13,113,48,0,0.0354442644825228,0.0346680502228922,18642.7035629766,0.392628548719893,19,33,NA,0.0608997369673556,0.0843082649442367,NA,NA,1000,NA,13.3333333333333,16.2256366142062,0.0311941201280597,0.0306520700762184,0.387597456475195,0.166947961770493,15,209,0,16.2256366142062
